title,start_year,end_year,genre,summary,rating,votes,run_time,actors
Cyborg 009: Call of Justice,2017,Ongoing,"Animation, Action, Sci-Fi","The story depicts Shimamura Joe and the other cyborgs' struggle with the Bresudo, a group of people who possess superhuman powers and intellect, and have manipulated human history since ancient times.",5.8,193,25,"Risa Taneda, Mitsuaki Madono, Keisuke Komoto, Ray Chase"
Justice: Qalb Al Adala,2017,Ongoing,Drama,The show follows an ambitious young Arab female lawyer who got her law degree in the US and instead of joining her father's law firm back at home (UAE) she decides to go out on her own as a...,5.2,142,,"Khalifa Albhri, Mansoor Alfeeli, Abdullah Almaqbali, Neven Madi"
Shumatsu no Izetta,2016,Ongoing,"Animation, Action, Fantasy","In 1939 C.E., the imperialist nation of Germania invaded a neighboring country. All at once, that war spread throughout Europe, and the era was dragged into a spiral of a great war. Then, ...",6.7,280,,"Himika Akaneya, John Burgmeier, Amber Lee Connors, Saori Hayami"
YooHoo to the Rescue,2019,Ongoing,Family,"In a series of magical missions, quick-witted YooHoo and his can-do crew travel the globe to help animals in need.",6.6,44,,"Kira Buckland, Ryan Bartley, Bryce Papenbrook, Cassandra Lee Morris"
DeMarcus Family Rules,2020,Ongoing,Reality-TV,Rascal Flatts bassist Jay DeMarcus and ex-beauty queen Allison DeMarcus write their own rules for juggling family and fun in this reality show.,6.2,90,,"Jane Alderson, Chris Chambers, Allison DeMarcus, Dylan DeMarcus"
Comedians of the World,2019,Ongoing,Comedy,A new comedy event series that will bring together 47 comedians from 13 regions around the world for the series. Each comedian will perform a half-hour stand-up.,6.4,424,30,"Afonso Padilha, Thiago Ventura, Ibraheem Alkhairallah, François Bellefeuille"
OCTB,2017,Ongoing,"Crime, Drama","""An undercover detective crosses paths with familiar faces in the mafia underworld during the final years of Britain's ruling of Hong Kong.""",7.2,161,24,"Brian Thomas Burrell, Bianca Stam, Justin Cheung, Anita Chui"
Freedom,2021,Ongoing,Drama,,,,,"Huma Qureshi, Naseeruddin Shah, Zoya Hussain, Kalki Koechlin"
The Craving,2022,Ongoing,Thriller,,,,,
Comedy Premium League,2021,Ongoing,Comedy,"Follows India's funniest entertainers engage in battles of wit and wisecracks, in the expectation to be crowned the ultimate comedy champs.",,,,"Urooj Ashfaq, Tanmay Bhat, Mallika Dua, Rahul Dua"
Spirit Riding Free: Pony Tales,2017,Ongoing,"Animation, Short, Adventure",,6.7,61,,"Amber Frank, Bailey Gambertoglio, Sydney Park, Darcy Rose Byrnes"
Meet the Adebanjos,2012,Ongoing,Comedy,"A sitcom about a British-Nigerian family living in Peckham, covering themes such as financial worries, Bayo Adebanjo's insistence on instilling African style discipline on his children, and Auntie Funke's struggles to find love.",7.6,61,,"Daniel Davids, Wale Ojo, Yetunde Oduwole, Andrea Ama Aboagye"
Sons of the Caliphate,2018,Ongoing,Drama,"This is a drama series about the lives of three rich, entitled, passionate and ambitious young men: Kalifah, Nuhu and Diko. Elections are fast approaching and there's a tussle for the ...",7.3,27,,"Patrick Doyle, Mofe Duncan, Yakubu Mohammed, Ibrahim Rufai"
The Celebrity Plastic Surgeons of Beverly Hills,2016,Ongoing,Reality-TV,"Plastic surgeons to Hollywood. Drs. Robert Rey and Jason Diamond are joined by Dr. David Amron, Dr. Kevin Sands, & Dr. Craig Ziering. Reality tv that follows the lives of four of the best ...",5.0,60,20,"Robert M. Rey, David Amron, Jason Diamond, Kevin Sands"
"Big Dreams, Small Spaces",2014,2017,Reality-TV,Horticulturalist Monty Don works with amateur gardeners to help them create the garden of their dreams.,8.1,309,,Monty Don
Phuean Hian.. Rongrian Lon,2014,2015,"Horror, Mystery, Thriller",A series of terrors of Thai supernatural forces. Each story is different and highlights different dynamics between the Thai families and friends.,6.9,249,,"Sirachuch Chienthaworn, Narikun Ketprapakorn, Chawin Likitcharoenpong, Thiti Mahayotaruk"
Coach Snoop,2016,Ongoing,Documentary,An American television series that follows legendary Hip-Hop artist Snoop Dogg as he coaches a youth football league to keep at-risk kids off the streets and focused on their goals.,6.8,553,30,Snoop Dogg
Mama K's Team 4,2022,Ongoing,"Animation, Action, Adventure","It follows four teenage girls living in a futuristic version of Lusaka, Zambia, who are recruited by a retired secret agent to save the world.",,,,
Judge vs. Judge,2017,2018,"Drama, Romance",The story of a fiery female judge Lee Jung Joo who fights to reveal innocence of her older brother who was frame-up for rape and murder and got killed while trying to acquit himself.,7.2,96,35,"Eun-bin Park, Woo-jin Yeon, Ha Dong, Joon-seok Heo"
Dorei-ku The Animation,2018,Ongoing,Animation,"What if you could enslave anyone you ever wanted? Well, this comes close. The SCM lets you enslave anyone who is also wearing an SCM, at a price. One must win over the other, at anything, in order for the other to become their slave.",5.9,92,24,"Patricia Duran, Christine M. Auten, John Gremillion, David Matranga"
Larry Charles' Dangerous World of Comedy,2019,Ongoing,"Documentary, Comedy","Legendary comedy writer and director Larry Charles travels the world in search of humor in the most unusual, unexpected and dangerous places.",7.3,545,60,"Larry Charles, Adrianne Chalepah, Sammy Halabi, Ahmad Rawf"
Sakura Taisen: The Animation,2020,Ongoing,"Animation, Action, Sci-Fi","An anime series followup to Shin Sakura Taisen (2019), members of the Imperial Combat Revue must protect a young girl named Klara, the sole survivor of her combat troupe and whom posses some mysterious powers.",6.4,44,,"Amber Lee Connors, Amanda R. Gish, Saori Hayami, Ayane Sakura"
Jigeum Uri Hakgyoneun,2021,Ongoing,"Drama, Fantasy, Horror",The story of a group of students stuck in their school during a zombie apocalypse.,,,,"Yi-Hyun Cho, Ji-hu Park, Park Solomon, In-soo Yoo"
O Crush Perfeito,2020,Ongoing,"Reality-TV, Romance","People from different genders and sexual orientations leave dating apps in order to seek a new love in São Paulo, face to face.",5.3,105,,Dieter Truppel
Cannot Write,2021,Ongoing,Family,A man dreams of writing script for shows as he watched television and falls for the stories. Not making headway he begins working at a real-estate agency where he meets his single mother ...,6.9,12,,"Kenta Hamano, Tôma Ikuta, Michiko Kichise, Fuma Kikuchi"
Nailed It! Mexico,2019,Ongoing,"Game-Show, Reality-TV","Hosted by Omar Chaparro and head judge Anna Ruiz, home bakers in Mexico with a terrible track record take a shot at recreating edible masterpieces for a $10,000 prize. It's part competition, part hot mess.",6.1,276,,"Omar Chaparro, Anna Ruiz, José Ramón Castillo, Rafael Christian"
Dino Girl Gauko,2019,Ongoing,"Animation, Comedy, Family",A children's animation on a seemingly typical girl who turns into a ferocious dinosaur when she is angry.,6.7,61,,"Naoko Matsui, Corina Boettger, Laura Post, Ben Diskin"
DC Super Friends,2015,Ongoing,Animation,"The Super Friends are the World's Greatest Super Heroes. They work together to stop the villains and protect the innocent, keeping the world safe. Go, Super Friends.",6.8,46,,"Blaze Berdahl, Johnny Yong Bosch, Mark Deakins, Gideon Emery"
Ainori: Asian Journey,2017,Ongoing,Reality-TV,Seven people in pursuit of true love -- four boys and three girls -- come together from various parts of Japan and travel on a journey through Asia (in a pink bus).,6.9,243,,"Becky, Toshiaki Kasuga, Mayuko Kawakita, Shimon Ohkura"
Les 7 Vies de Léa,2022,Ongoing,Drama,"Follows a woman who stumbles upon the body of Ismael, a teenager who disappeared thirty years earlier, with the event taking her back to 1991 and seeing her wake up every morning in the body of a different person.",,,,"Raïka Hazanavicius, Khalil Ben Gharbia, Marguerite Thiam, Maïra Schmitt"
The Circle: Brazil,2020,Ongoing,Reality-TV,"Be yourself or someone else? In this fun reality competition, online players try their best to flirt, bond and catfish their way to a R$ 300,000 prize.",6.8,677,,"Giovanna Ewbank, Raphael Dumaresq, J.P. Gadelha, Marina Gregory"
Hiyama Kentarô no ninshin,2022,Ongoing,"Comedy, Drama, Romance","The story takes place in a world where-in rare cases-men can conceive and give birth. Kentaro Hiyama, an elite ad man, suddenly finds out one day that he is pregnant. His partner, Aki Seto,...",,,,"Takumi Saitoh, Juri Ueno"
A Year in Space,2015,Ongoing,Documentary,Astronaut Scott Kelly's record-breaking year in space -- from launch to landing.,7.4,415,56,"Scott Kelly, Jeffrey Kluger, Mikhail Kornienko, Amiko Kauderer"
Holiday Home Makeover with Mr. Christmas,2020,Ongoing,Reality-TV,"Mr. Christmas, a veteran in the interior design industry with a healthy obsession with the holiday season, takes you behind the scenes as he puts his design expertise and vast Christmas collection to good use.",5.7,247,,Benjamin Bradley
Sab Jholmaal Hai,2017,Ongoing,Animation,"The story revolves around the adventures of pets who live in a cozy house, owned by Miss Katkar. When the owner is away, the pets set off on fun and crazy adventures together. While they ...",6.1,44,,"Dolly Lopes, Mubeen Saudagar"
Rigalhai,2019,Ongoing,"Comedy, Drama","A story of two completely different lawyers. Go Tae Rim is a lawyer with a 100 percent success rate who knows how to play with the law, and Seo Jae In is a rookie lawyer who believes in the law and justice.",7.3,72,60,"Jin Goo, Eun-Su Seo, Bak Yoon, Jeong-an Chae"
Agent,2019,Ongoing,Drama,"'The business end' of soccer as seen through the eyes of a fierce, mercurial football agent, wrestling with a fatal secret he buried six years ago, on the brink of breaking big or losing everything.",7.2,73,,"Kay Sibiya, Sisanda Henna, Tarryn Wyngaard, Anthony Oseyemi"
Country Ever After,2020,Ongoing,"Music, Reality-TV",Country singer Coffey Anderson and his hip-hop dancer wife Criscilla as they raise their children and navigate their opposite country vs. city perspectives of life and parenting.,6.5,141,,"Coffey Anderson, Criscilla Anderson, Elliot Schiff, Kelly Sweeney"
Omangwa Pyungyeon,2014,2015,"Drama, Romance","Sends a chilling message about the nature of a successful high profile corruption prosecution, not limited to the South Korean justice system. Always follow the money.",7.0,174,,"Choi Jin-Hyuk, Jin-hee Baek, Min-su Choi, Woo-sik Choi"
Ninja HattoriKun Returns,2013,Ongoing,"Animation, Comedy, Family","Kenichi,Hattori starts attending school undercover,occasionally accompanied by his brother,Shinzo,Shishimaru the ninja dog and Kenichi's girlfriend, Yumeko. The gang is also threatened by the rival Koga ninja and his evil Shadow-cat.",8.3,76,30,"Junko Hori, Yûko Mita, Ken'ichi Ogata"
Paul Hollywood's Big Continental Road Trip,2017,Ongoing,Documentary,Paul Hollywood who is an actor and a baker from Liverpool tries to find out how the most popular cars of the three big European countries express their nation's identities and the connections with their cultures.,7.5,187,,"Alexis Dubus, Paul Hollywood"
7 Days Out,2018,Ongoing,Documentary,A series that documents behind the scenes of some of the largest events in the world.,6.8,471,48,"Frank Bruni, Emmy, Kevin Flanery, Matthew Haag"
Rák Màt-nàk,2020,Ongoing,"Drama, Romance, Sport","Despite their fathers' rivalry, two university students form a friendship at a boxing gym as they tackle family drama, romance and personal crises.",6.7,21,45,"Peemapol Panichtamrong, Phiravich Attachitsataporn, Jida Jidapa Siribanchawan, Ninna Yanin Opassathaworn"
Cricket Fever: Mumbai Indians,2019,Ongoing,Sport,"Following the 2018 season of the Mumbai Indians, one of the world's most popular Cricket clubs.",7.3,646,40,"Rohit Sharma, Jasprit Bumrah, Bhushan Kadam, Mandar Karane"
My Fair Wedding,2008,Ongoing,Reality-TV,This season of My Fair Wedding gives viewers an up close look into David Tutera's world unlike anything we've seen on the show before. We're peeling back the veil and letting fans see the ...,6.6,223,60,"David Tutera, Sarah Lafleur, Ashley Ready, Cynthia Pinot"
Living Undocumented,2019,Ongoing,Documentary,A look at the lives of undocumented immigrants living in the United States.,6.6,538,45,
School Police,2021,Ongoing,Drama,,6.4,8,,"Tatsuya Fujiwara, Yôko Maki, Yûki Yamada"
Dale Gas,2021,Ongoing,"Action, Crime, Thriller","The Story of Kike Guerrero, a talented illegal street race car driver that fights to live an honest life, but is forced to return to Monterrey, a place where his family became powerful in the world of automobile crime.",,,,"Jocelyn Chacón, Andrés Delgado, Geovanni Martínez, Iván Martínez"
Pacific Heat,2016,2017,"Animation, Action, Comedy",A group of ragtag Australian agents working hard to recover their reputation in order to prevent having their team shut down.,5.8,1119,22,"Santo Cilauro, Tom Gleisner, Rebecca Massey, Lucia Mastrantone"
Bad Papa,2018,Ongoing,"Drama, Family","Yoo Ji Cheol used to be a top boxer. After hitting rock bottom, he decides to gain control of his life again through mixed martial arts.",7.4,101,35,"Lee Da-wit, Jang Hyuk, Kim Jaekyung, Man-sik Jeong"
Memory Love,2017,Ongoing,Romance,"Jia-en loses both her memory and her boyfriend in a devastating car accident. After meeting a heart transplant recipient, Jia-en begins to remember her past.",7.8,56,,"Mandy Wei, Andy Chen, Jolin Chien, Cliff Cho"
Fifty,2017,Ongoing,Drama,"Juggling careers and families, four ambitious Nigerian women, are faced with the consequences of their choices as they approach fifty.",8.3,32,,"Dakore Akande, Chris Attoh, Iretiola Doyle, Timini Egbuson"
Abla Fahita: Drama Queen,2021,Ongoing,"Comedy, Crime, Drama","Falsely incriminated, Abla Fahita is separated from her kids, but the self-indulgent diva will stop at nothing to redeem herself and reunite her family.",6.6,388,25,"Caro, Abla Fahita, Mena Adel, Nadia Hamzeh"
Majutsushi Orphen Mubouhen,1998,1999,"Animation, Action, Adventure","A sorcerer by the name of Orphen searches for a way to bring his childhood friend, Azalie, back to her original form, whom on a quest for knowledge became a dragon.",7.3,242,25,"Shôtarô Morikubo, Mayumi Izuka, Omi Minami, David Matranga"
Hôzuki no Reitetsu,2014,Ongoing,"Animation, Comedy, Fantasy","The dark comedy revolves around the fierce god aide to the Great King Yama, Hoozuki. Calm and super-sadistic, he tries to resolve problems that often occur in Hell.",7.3,219,24,"Hiroki Yasumoto, Yumiko Kobayashi, Takashi Nagasako, Kôji Yusa"
Storage Wars Canada,2013,2016,Reality-TV,Canadians go to storages and but them for the right price,3.3,494,30,"Ursula Stolf, Paul Kenny, Bogart Kenny, Roy Dirnbeck"
Pili Fantasy: War of Dragons,2019,Ongoing,"Animation, Action, Fantasy","Turmoil looms in the Martial World, and the Eight Wonders of the Evil Dragon unleashes dark forces.",6.4,29,,
Bookmarks: Celebrating Black Voices,2020,Ongoing,Family,"Prominent Black celebrities and artists read children's books from Black authors that highlight the Black experience. Conversations center around themes of identity, respect, justice, and action.",4.9,143,,"Marley Dias, Karamo Brown, Grace Byers, Common"
Cooking on High,2018,Ongoing,Game-Show,Competitive cooking show where the primary ingredient is marijuana.,4.9,454,14,"Ngaio S. Bealum, Josh Leyva, Brandon Coates, Chef Dee"
Vampire in the Garden,2021,Ongoing,"Animation, Adventure, Drama","In the divided world of the future, two girls want to do the forbidden: the human wants to play the violin, and the vampire wants to see a wider world.",,,,
Shark,2015,Ongoing,Documentary,"This wide-ranging series documents the secret lives of sharks from the Arctic to the tropics, revealing their amazing diversity and sociability.",8.4,286,59,"Peter Drost, Paul McGann, Andrea Marshall, Alessandro Ponzo"
Creator's File: Gold,2021,Ongoing,Comedy,"Comedian Ryuji Akiyama satirizes top ""creators"" in Japan with a deadpan, unerring eye for humor, with help from some surprising celebrity guest stars.",6.5,17,,"Yumi Adachi, Ryûji Akiyama, Shino Ikenami, Mei Nagano"
Older Sister's Beloved,2020,Ongoing,Family,"While she was at high school, Momoko and her three siblings parents' died due to an accident. Being the oldest, she was left in charge, she gave up on her own plans and further education ...",7.3,47,,"Atsuko Anami, Kasumi Arimura, Naohito Fujiki, Kento Hayashi"
What the Love! with Karan Johar,2020,Ongoing,Talk-Show,"""Millenials"" looking for love join the show in hopes of being guided into new relationship opportunities by host Karan Johar.",4.4,242,,"Sahil Brown, Karan Johar"
Rebelde,2022,Ongoing,"Comedy, Drama, Family",,,,,"Azul Guaita Bracamontes, Giovanna Grigio, Franco Masini, Alejandro Puente"
Jimmy: Ahomitaina honma no hanashi,2018,Ongoing,Comedy,"In the 1980s, a simple-minded fool named Hideaki meets comedy legend Sanma, changes his name to Jimmy and becomes a comedic superstar.",6.8,64,,"Akiyoshi Nakao, Tetsuji Tamayama, Hiroyuki Onoue, Seiji Rokkaku"
Don't Watch This,2018,Ongoing,"Short, Horror",A collection of very short horror films.,3.2,1542,,"Acacia Marquez, John Salandria, Bri Leone, Jacob Nichols"
Iron Ladies,2018,Ongoing,Romance,"Chou Kai-Ting, Ma Li-Sha and Wang Ching-Ching are women in their thirties, working as top managers in an e-commerce cosmetic website ""Love U shop"". They have beautiful appearance, perfect ...",5.9,48,75,"Aviis Zhong, Ben Wu, Ada Pan, Wills Sia"
Shine On with Reese,2018,Ongoing,"Documentary, Reality-TV","In a talk show straight from the heart, actor and producer Reese Witherspoon visits with groundbreaking women to discuss their inspiring journeys.",7.7,258,30,"Reese Witherspoon, Simone Askew, Sara Blakely, Ava DuVernay"
Barami Boonda,2019,Ongoing,Drama,"""The Wind Blows"" is a story about a man who decided to divorce his beloved wife after suffering from Alzheimer's disease and a woman who decided to divorce her husband to have children. The plot unfolds six years later when they reunite.",7.7,33,,"Woo-seong Kam, Ha-neul Kim, Ahn Dong-Goo, Kim Ga-eun"
Takki,2012,Ongoing,Drama,,7.2,102,,"Mohammed Balkhi, Reem AlHabib, Ali Alsherif, Moayed Althagafi"
Cirque du Soleil: Luna Petunia,2016,2017,"Animation, Family, Fantasy",Luna Petunia is a new animated Netflix original series for preschool kids developed by Saban Brands and Cirque du Soleil Média. Inspired by the Cirque du Soleil brand of creativity and ...,6.3,53,22,"Neil Crone, Edward Glen, Jonah Wineberg, Ciara Alexys"
Marching Orders,2017,Ongoing,Documentary,"Regarded as the nations best, Bethune-Cookman University's marching band always has a lot at stake. In Stage 13 Original MARCHING ORDERS, meet the incoming class trying to keep the legacy ...",6.0,244,,
Standup and Away! with Brian Regan,2018,Ongoing,Comedy,Bryan Regan blends his trademark observational stand-up with short sketches and a bit of audience interaction in this hybrid comedy series.,5.8,370,24,"Brian Regan, Beth Triffon, Eddie Alfano, Lynn Andrews"
I'm Home,2015,Ongoing,Drama,"The hero, nearly killed by carbon monoxide poisoning while on a solo assignment in another city, loses his memory and can no longer recognize his own family. Unconsciously, his feet carry ...",6.3,407,54,"Takuya Kimura, Aya Ueto, Miki Mizuno, Kei Tanaka"
Buddi,2020,Ongoing,Animation,,7.0,48,,"Greta Jameson, Ralf Jameson, Clementine Laikin, Felix Laikin"
Dressing Funny,2019,Ongoing,Comedy,"Each episode, Tan France dresses ""some of the funniest people on the planet!""",7.0,33,,"Tan France, Colleen Ballinger, Pete Davidson, Rachel Dratch"
Super Giant Robot Brothers,2022,Ongoing,"Animation, Action, Adventure",Two giant robots discover they are brothers while fighting against intergalactic evil to defend Earth.,,,,
The Negotiators,2019,Ongoing,Crime,A deep dive into one of the world's most high-pressure professions: hostage negotiation.,,,,
Move,2020,Ongoing,Documentary,Discover the brilliant dancers and choreographers who are shaping the art of movement around the world in this documentary series.,7.6,91,,
Kazoops!,2016,Ongoing,"Animation, Comedy, Family","Who says the world works the way grown ups think it should? Things can always be different if you just imagine. Monty is a spirited boy of six, with a vivid imagination and his best friend ...",7.2,111,7,"Teresa Gallagher, Reece Pockney, Scott Langley, Alex Babic"
Space Racers,2014,Ongoing,"Animation, Family, Sci-Fi","Join the students at Stardust Space Academy, while they go on missions to learn new facts while having fun. With engaging and fun characters the leader of the Space Racers, and Hawk.",7.3,74,22,"Rick Zieff, Joey D'Auria, Meyer DeLeeuw, Phil Lollar"
Bangkok Love Stories: Plead,2019,Ongoing,Drama,,7.1,43,,"Chanon Santinatornkul, Sutatta Udomsilp, Morakot Liu, Varot Makaduangkeo"
Towies,2016,Ongoing,Reality-TV,"An Australian towing company's staff take on all types of automotive problems, and sometimes non-automotive problems, to keep Queensland's streets clear and infrastructure functioning..",,,30,"Adrian Jarrett, Mike, Spooney, Jimbo"
Happy Jail,2019,Ongoing,Documentary,"The Philippine jail known for a viral Michael Jackson dance video comes under the management of an ex-convict, sparking controversy and criticism.",7.0,237,,
Mighty Little Bheem,2019,Ongoing,"Animation, Short, Adventure",An innocent toddler's boundless curiosity - and extraordinary might - lead to mischief and adventure in his small Indian town.,6.7,214,6,
Asktan Kaçilmaz,2014,Ongoing,"Drama, Romance",A young man at odds with his father returns home when his younger brother runs away. But his father is a criminal mastermind and his home town is a complicated place. Will he escape the ...,6.2,46,,"Berk Oktay, Pelin Akil, Çagdas Onur Öztürk, Ceren Hindistan"
Hatchimals: Adventures in Hatchtopia,2018,Ongoing,Animation,"Follow Cheetree, Penguala, Draggle, and their new friends as they explore Hatchtopia solving mysteries, making new friends, and having a hatchtastic time.",7.2,12,,"Andrea Libman, Kira Tozer, Sam Vincent, Rebecca Husain"
Monty Don's French Gardens,2013,2017,Documentary,Monty Don visits some of the most famous and interesting gardens in France.,7.9,186,59,Monty Don
Ai hui lai,2011,2012,"Drama, Romance","After years in the US, a Taiwanese immigrant returns to her hometown with a young daughter in tow to assist her father with his bed-and-breakfast.",6.6,13,,"June Tsai, Ray Chang, Ya-Jo Wu, Shao-Hua Lung"
Karê no uta,2020,Ongoing,"Comedy, Drama","Amasawa Yoichiro was abandoned and leads to his encounter with Suzuki Nita who hopes to become an artist. A penniless and homeless Yoichiro makes Nita buy him curry on the grounds that he saved him, and mutters briefly about his family.",6.3,15,24,"Shinnosuke Mitsushima, Oji Suzuka, Yôko Moriguchi, Natsuki Deguchi"
Care Bears and Cousins,2015,2016,Animation,"The Care Bears are at it again, with fun adventures with their cousins, learning valuable lessons about friendship, hard work and most of all, caring. All in wonderful and colorful 3D CGI animated.",6.8,69,,"Braeden Marcott, Doug Erholtz, Braeden Fox, Olivia Hack"
Love is Blind: Brazil,2021,Ongoing,"Reality-TV, Romance",,,,,"Camila Queiroz, Klebber Toledo"
Heaven's Wedding Gown,2004,2005,Drama,"It was with much difficulty that Ai-Ching (Cyndi Wang) was able to save enough money and arrive in her dream place, Paris. As a result, she was extremely happy about this. At the same time,...",6.2,21,47,"Cyndi Wang, Leon Jay Williams, Ming-Dow, Li-Chun Tsai"
Yang guan dao,2018,Ongoing,"Comedy, Horror","To catch three criminal masterminds, a group of cops teams up with a forensic pathologist who can see a murder victim's final moments before death.",3.2,55,25,"Wai Ai, Sui-man Chim, Elanne Kong, Ying Kwan Lok"
Lego: City,2017,Ongoing,Animation,LEGO City presents the fastest and explosive stories EVER!,4.9,31,26,"Kate Harbour, Marc Silk, Ben Pronsky, Ellen Dubin"
Sleepless Society: Two Pillows & A Lost Soul,2020,Ongoing,"Drama, Thriller","A motivational speaker in the midst of a messy divorce with her abusive and hateful husband, Wakes up from a wild and alcohol filled party to find a dead body.",5.2,32,,"Tosatid Darnkhuntod, Vorarit Fuangarome, Namthip Jongrachatawibooniboon, Boonsong Nakphoo"
Lava Ka Dhaava,2021,Ongoing,"Game-Show, Reality-TV",Actor Jaaved Jaafferi brings his signature humor to this Hindi dubbing of the show where teams creatively navigate rooms flooded with make-believe lava.,6.1,39,29,Javed Jaffrey
The Ollie & Moon Show,2017,Ongoing,"Animation, Family",Two cats travel the globe and teach children about unlikely friendships and global citizenships.,8.3,59,11,"Mattea Conforti, Kobi Frumer, Ofosu Born Jones-Quartey, Brian Beckerle"
Time to Eat with Nadiya,2019,Ongoing,Reality-TV,"Chef Nadiya Hussain shares a mouthwatering selection of stress-free recipes designed to save time, calm our hectic modern lives and give us all time to eat.",7.4,389,29,Nadiya Hussain
My Hotter Half,2017,Ongoing,Reality-TV,"It's partner versus partner, as couples compete to make the most smoking selfie in this explosive, nerve-jangling battle of hotness.",4.1,212,,"Melvin Odoom, Charley Clark, Can Somer"
Chasing Cameron,2016,Ongoing,Reality-TV,"The series centers around Cameron Dallas, a ""social media influencer"",best known for his Vine videos. The half-hour episodes show Cameron, and Magcon members' road to stardom. Co-stars tour members and Dallas' immediate family members.",3.7,490,31,"Trey Schafer, Lee Westwick, Aaron Carpenter, Cameron Dallas"
Sharkdog,2021,Ongoing,"Animation, Short, Adventure","10 year old Max and his best friend Sharkdog - half shark, half dog, all appetite. Blissfully unaware of his own strength, stealth and general sharkiness, Sharkdog often leaves a trail of chaos in his wake.",,,7,
Fedeltà,2021,Ongoing,"Drama, Romance","Fidelity tells a story of marital fidelity, in particular the one of Carlo and Margherita, a young couple who needs to face the deflagrant consequences of an alleged betrayal. Their ...",,,,"Lucrezia Guidone, Michele Riondino"
Saiyuki Reload Blast,2017,Ongoing,"Animation, Action, Adventure",The Sanzo Party has finally reached the West of Tougenkyou and encounter new enemies. It also reveals some truth about their past life.,7.6,85,23,"Greg Ayres, David Matranga, Ian Sinclair, Micah Solusod"
Border: Keishichô Sôsa Ikka Satsujinhan Sôsa Dai 4-gakkari,2014,Ongoing,Drama,"Ishikawa Ango is a very capable detective that lives only for his job. One day, while investigating a crime scene, he gets shot in the head by the criminal that was still lurking about. ...",6.7,315,54,"Shun Oguri, Munetaka Aoki, Haru, Ken'ichi Endô"
The Chefs Line,2017,Ongoing,Reality-TV,Home cooks face off against trained chefs to see if passion can beat profession in the kitchen in this reality competition show.,7.0,198,,"Dan Hong, Melissa Leong, Maeve O'Meara, Mark Olive"
Super Zach,2018,Ongoing,"Animation, Action, Adventure","When someone is in trouble in Storia Town, Super Zach jumps into action. Super Zach is a little superhero powered by food energy. When he eats his mother's food, he gains ""Super Yum-Yum ...",7.6,9,,"Jan Bos, Michelle Brezinski, Michael Donovan, Brian Drummond"
Bottersnikes & Gumbles,2015,Ongoing,"Animation, Adventure, Comedy","In a far away forgotten valley, heaped with long abandoned junk, a timeless battle rages between good and evil - and also between squashy and scaly, happy and grumpy, clever and wily, ...",5.2,43,11,"Ray Chase, Robbie Daymond, Tara Sands, Alex Babic"
Harry & Bunnie,2016,Ongoing,"Animation, Adventure, Comedy","Meet Harry, a boy who dreams of becoming a great magician. However, his obnoxious rabbit named Bunnie stole his magic wand and constantly humiliated him. They start a rivalry.",4.0,35,21,"Yvonne Chong, Hashir Haizal Hailmi, Michelle Kay"
I'm with the Band: Nasty Cherry,2019,Ongoing,"Documentary, Music",An unscripted docu-series following a musical artist or band and their entourage as they prepare for and embark on tour.,6.6,148,,"Gabrielle Bechtel, Chloe Chaidez, Nasty Cherry, Debbie Knox-Hewson"
Styling Hollywood,2019,Ongoing,Reality-TV,Stylist and interior designer Jason Bolden and husband Adair Curtis of JSN Studio make the magic happen on the red carpet and at home for A-listers.,6.7,321,,"Melinda Elvenes, Jason Bolden, Adair Curtis"
Hakyu Hoshin Engi,2018,Ongoing,"Animation, Action, Adventure","The story is set in legendary China. A beautiful female fox spirit named Dakki is controlling the emperor Chu-o and the ruling In dynasty, and is using her power over him to do evil in the ...",5.9,31,23,"Josh Grelle, Tyler Walker, J. Michael Tatum, Aaron Dismuke"
The Judgement,2018,Ongoing,"Crime, Drama","After a traumatic incident at a party makes her a target of gossip and derision, a young college student tries to change her school's toxic culture.",7.1,85,47,"Kenneth Won, Kacha Nontanan Anchuleepradit, Thanabordee Jaiyen, Rapatrud Jiravechsoontorkul"
Anitta: Made in Honório,2020,Ongoing,"Documentary, Biography, Music","In this intimate documentary, Brazilian pop queen Anitta opens up about fame, family and her fierce work ethic, revealing the woman behind the hits.",7.0,351,,"Anitta, Arielle Macedo, David Brazil, Felipe Britto"
J-Style Trip,2020,Ongoing,Reality-TV,,5.4,97,,"Jay Chou, Funky Tu, Chen Kuan-Lin, Will Tsai"
Uysallar,2021,Ongoing,,,,,,
Stunt Science,2018,Ongoing,Reality-TV,"A team of experts break down the world's most extraordinary stunt clips, and work out how they were (or weren't) achieved.",5.0,43,,
Emergency Interrogation Room,2019,Ongoing,Drama,There is a new directive that stipulates all interrogations by the cops should be recorded. The cops gather at their headquarters to ostensibly be trained on what this means for their work....,6.9,17,,"Yûki Amami, Denden, Mokomichi Hayami, Fumiyo Kohinata"
Treehouse Detectives,2018,Ongoing,"Animation, Short, Mystery",Two Bears in a treehouse solve cases around their forest to help their animal friends.,7.1,54,,"Brody Allen, Ryan Bartley, Jenna Davis, Leigh Kelly"
On the Real,2016,Ongoing,Comedy,On the real is a unique format combining pseudo reality-come-drama that incorporates running commentary by all cast members. This edgy series follows the lives of 5 young Nigerian reality ...,8.3,23,,"Ada Afoluwake Ogunkeye, Chy Nwakanma, David Jones David, Sandra Eze"
